doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;sponsored;target;condition;sequence;commented_post;source
1;08.05.24 09:30;Madonna breaks the record for biggest audience for a stand-alone concert for any artist in history.<br><br>Her free concert at Copacabana Beach in Rio de Janeiro, Brazil drew 1.6 million fans.;https://pbs.twimg.com/media/GNCHE06XYAAa4C4?format=jpg&name=large;;12000;1100;134;chart data;chartdata;music charts, awards, industry news and more in real time.<br><br>Inquiries: contact@chartdata.org 📨<br>Subscribe for Requests 🗝️;https://pbs.twimg.com/profile_images/1342086006149791750/Ar0drcXS_400x400.jpg;2523123;0;;appropriate;;0;https://twitter.com/chartdata/status/1788077676919460179
2;08.05.24 09:30;Saudades do Rio 🫶🏼<br><br>didn’t want to leave Brazil 🇧🇷✌️but it’s time to go back to work<br><br>pico de tijuca;https://pbs.twimg.com/media/GM_PHx_WIAA7jIj?format=jpg&name=large;;12123;571;123;diplo;diplo;random white dude be everywhere, founder of smoothie wolf, feeding the streets since 1885. also in major lazer, silk city, jack ü, and LSD;https://pbs.twimg.com/profile_images/1613767922307964929/8EFgdYLr_400x400.jpg;2312123;0;;appropriate;;0;https://twitter.com/diplo/status/1787875704861790458
3;08.05.24 09:30;50 million people watched on TV Madonna performing in Brazil!;https://pbs.twimg.com/media/GM7GuneXQAEtTli?format=jpg&name=large;;4012;262;19;Madonna Daily ;madonnaxdaily;On Wednesdays I Stan Madonna<br>News/charts account dedicated to the true blue Queen of Pop<br>-<br>Fan Account;https://pbs.twimg.com/profile_images/1751919805936934912/HcdsQ2S8_400x400.jpg;13023;0;;appropriate;;0;https://twitter.com/madonnaxdaily/status/1787584623137923225
4;08.05.24 09:30;"Chelsea really wanted Real Madrid-bound Endrick and Estevao Willian is seen as the next great attacking talent out of Brazil.  
A case of unfinished business. #CFC";;;768;62;13;Nizaar Kinsella;NizaarKinsella;"✍️🏽football correspondent for 
@StandardSport.<br><br>See also: YouTube/Facebook/Instagram  @nizaarkinsella.  📽📸🇬🇧🇲🇦";https://pbs.twimg.com/profile_images/1792444760294055936/SlWOyoaX_400x400.jpg;505912;0;;appropriate;;0;https://twitter.com/NizaarKinsella/status/1788173765995626820
5;08.05.24 09:30;Brazil's wild beauty calls! Experience nature like never before. Book your breathtaking adventure with KLM.;https://i.postimg.cc/MGQtKsh2/brazil-wild-beauty.webp;;336;52;9;KLM;KLM;Official global account of KLM. FAQ about flying from AMS: http://klmf.ly/Schiphol. To learn how we can assist you, please check: http://klmf.ly/ContactCentre.;https://pbs.twimg.com/profile_images/1807736403385561088/HaxXwA-t_400x400.jpg;2223756;1;https://www.klm.com.br/en-br/flights-from-brazil;appropriate;5;0;
6;08.05.24 09:30;Rio! What an incredible way to end this trip to Brazil 🇧🇷 That was the longest set we have ever played! Thank you to everyone who came to a show, and to everyone we met along the way, your energy was incredible. Thank you to @fresnorock for joint us every night too ⚡️ #mcflynobrasil;;;1623;298;100;mcfly;mcflymusic;21st Birthday Party tickets!👇;https://pbs.twimg.com/profile_images/1641063034419388416/770FHmWN_400x400.jpg;381743;0;;appropriate;;0;https://twitter.com/mcflymusic/status/1787893488593338645
7;08.05.24 09:30;On a mission to find out what happened to Timberwolves Brazil;https://pbs.twimg.com/media/GM1KswXW0AAM-Wy?format=jpg&name=large;;466;5;5;Sir Naz Reid;minneso00991;#SKOL #raisedbywolves ball knower, IFB;https://pbs.twimg.com/profile_images/1732630632235171840/KDj9UXIJ_400x400.jpg;1328;0;;appropriate;;0;https://twitter.com/minneso00991/status/1787166798757900343
8;08.05.24 09:30;Brazil 🇧🇷;https://images.unsplash.com/photo-1543957568-897d11ea3926?q=80&w=3635&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;82;19;3;LUX Travels;LuxuryTravelLUX;Luxury Travel / Cars / Homes @LuxuryCars365 & @LUXHomes365;https://pbs.twimg.com/profile_images/1689017935237357568/qF0nTHA2_400x400.jpg;16123;0;;appropriate;;0;https://twitter.com/LuxuryTravelLUX/status/1788056027411169327
9;08.05.24 09:30;In using a database that over-represents US journals, what  these numbers tell us is how isolated US scholarship is from other parts of the world. When @luizaleaoperei1 & @fmorosini did a similar exercise for Brazil eg they found a much more diverse use of secondary sources;https://pbs.twimg.com/media/GNDVh5bWIAAaCzn?format=jpg&name=medium;;149;31;6;Alonso Gurmendi;Alonso_GD;Lecturer in Int’l Relations @KingsCollegeLon, @warstudies | blogs @opiniojuris | Esp/Eng/Port | Views personal;https://pbs.twimg.com/profile_images/1395430406422470658/mpfW3sbI_400x400.jpg;111341;0;;appropriate;;0;https://twitter.com/Alonso_GD/status/1788163835267789270
10;08.05.24 09:30;Brazil;https://pbs.twimg.com/media/GM9-9GfWIAAQNzi?format=jpg&name=large;;104;30;1;Mysterious world;Mysterious58266;Exploring the  Mysterious World. follow us for more exciting content. Don't own any post content, credit to all respective owners.;https://pbs.twimg.com/profile_images/1806171941755138048/s0dFcGyA_400x400.jpg;2369;0;;appropriate;;0;https://twitter.com/Mysterious58266/status/1787787195077558290
11;08.05.24 09:30;Barcelona signed Vitor Roque to play as a lone striker, but Xavi has been playing him out of position. In Brazil he played as a lone striker, or sometimes as a second striker on the right. However, he never started from the left, which has been his role with Xavi.<br>—<br>@sport;https://pbs.twimg.com/media/GNCQoneXUAAf8m7?format=jpg&name=large;;2013;110;80;Barça Universal;BarcaUniversal;Biggest independent FC Barcelona channel: News, opinion, stats, and match coverage • Contact: info@barcauniversal.com;https://pbs.twimg.com/profile_images/1711355653728440320/dLeSpFh8_400x400.jpg;1103156;0;;appropriate;;0;https://twitter.com/BarcaUniversal/status/1788124179784765483
12;08.05.24 09:30;Metallica performing Sad But True on 5/7/22 in Curitiba, Brazil. #Metallica https://youtu.be/CdgKsO14rqQ?si=xwgpIRD2pcl3rDHa;;;304;67;3;HetfieldsCowboyHat;TheMetalliHat;The Mighty Hat Speaks🤘🏻Metallica Fan Account🤘🏻;https://pbs.twimg.com/profile_images/1056981945203261440/0RuTAjW0_400x400.jpg;15849;0;;appropriate;;0;https://twitter.com/TheMetalliHat/status/1787828627544977862
13;08.05.24 09:30;Michael Jackson They Don't Care About Us (Brazil Version) #90s;https://www.pezjax.com/wp-content/uploads/2020/09/MJ-Article.jpg;;1247;351;6;Ladytron Fan Account;Lady_FanAccount;Fan account that posts various music genres. 🤍 @Ladytrongroup @marnieofficial 🤍 @my_music_backup;https://pbs.twimg.com/profile_images/1658510716536487944/dzBIPIVC_400x400.jpg;154218;0;;appropriate;;0;https://twitter.com/Lady_FanAccount/status/1787965633927540936
14;08.05.24 09:30;"🎙Lando Norris story about Gil de Ferran: <br><br>🗣  ""Gil de Ferran in Brazil last year, he told me that I was going to win within the next year or two. As much as a doubt a lot of people, and I doubt myself. I listened to him, and he told the truth and he believed in me"" 🙏🏻";;;1198;122;4;McLaren News | 🇬🇧 🇦🇺;McLarenF1_News;Your #1 Source for all matters related to McLaren F1 Team;https://pbs.twimg.com/profile_images/1795128707612340224/qcG73FnR_400x400.jpg;9432;0;;appropriate;;0;https://twitter.com/McLarenF1_News/status/1787257830854074699
15;08.05.24 09:30;Did you know what a porcupine looks like? <br><br>This is a prehensile porcupine aka coendou from South America found in the rainforests of Brazil;https://images.unsplash.com/photo-1639501483504-0db53233a4d5?q=80&w=3272&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;;1991;232;37;Massimo;Rainmaker1973;Engineer. Selecting and curating pictures and videos trying to add context, source and explanation to science, tech, art and weather topics;https://pbs.twimg.com/profile_images/914888589670043654/KVvwjcWA_400x400.jpg;1993471;0;;appropriate;;0;https://twitter.com/Rainmaker1973/status/1787432045913813329
16;08.05.24 09:30;Madonna shines in a custom Jean Paul Gaultier Haute Couture once again as she took the stage for her legendary grand finale for her 'Celebration Tour' in Brazil 💚;https://pbs.twimg.com/media/GM5QxcZXMAA4nDR?format=jpg&name=large;;17123;2123;117;JPGaultier;Jean Paul Gaultier;Jean Paul Gaultier;https://pbs.twimg.com/profile_images/1780899814722473984/u02Lhtw4_400x400.jpg;1423123;0;;appropriate;;0;https://twitter.com/JPGaultier/status/1787455029789499619
17;08.05.24 09:30;Waved Woodpecker (Celeus undatus) in Brazil 🐦🇧🇷<br><br>📷 Schuler Franz ©️<br><br>#Brazil #nature #wildlife #photography;https://pbs.twimg.com/media/GHOD_EjXkAACxmS?format=jpg&name=medium;;1109;280;16;Liberta Cherguia 🇪🇺;MbarkCherguia;🌳 Nature lover |  📸 Capturing nature's beauty |  Open to collaborations  | Follow for stunning landscapes! 🌄 | Check out  @Geniustechw for art, tech & culture;https://pbs.twimg.com/profile_images/1748768033231798272/yx0DbMM4_400x400.jpg;23249;0;;appropriate;;0;https://twitter.com/MbarkCherguia/status/1761897016681017449
18;08.05.24 09:30;Using sustainable materials and innovative folding doors, Casa Sui promises an interactive living space. Through its nature-inspired design, it perfectly blends with its surroundings.<br><br>Details: https://arc.ht/3S1LWWX | 📍 Belo Horizonte, Brazil #ProjectOfTheDay #ArchitizerAwards;https://pbs.twimg.com/media/GEChwN4XQAA17mq?format=jpg&name=medium;;311;64;0;Architizer;Architizer;Architizer is the home of architectural inspiration.;https://pbs.twimg.com/profile_images/842415551955759109/om8egmBt_400x400.jpg;1203859;0;;appropriate;;0;https://twitter.com/Architizer/status/1747574513343025652
19;08.05.24 09:30;The flora in Pará, Brazil, is essential for its economy, but preserving #biodiversity is equally important.<br><br>Integrating it into value chains benefits the climate, people, and the economy.<br><br>Learn more with this @nature_org infographic!;https://pbs.twimg.com/media/GAvWidjb0AAMYMU?format=jpg&name=4096x4096;;142;60;3;UN Biodiversity;UN Biodiversity;Official account of the Secretariat of the Convention on Biological Diversity. Our Acting Executive Secretary @hdavidcooper;https://pbs.twimg.com/profile_images/1737083733147070464/irgdpyhW_400x400.jpg;203847;0;;appropriate;;0;https://twitter.com/UNBiodiversity/status/1735162703465890034
20;08.05.24 09:30;Brazil overlaid onto Europe;https://pbs.twimg.com/media/GNCfMeJXUAAn61W?format=jpg&name=large;;2899;333;37;Epic Maps 🗺️;Locati0ns;Educational and informative world Maps 🗺️. Scroll Down & Get More Knowledge. We do not own any content posted. Dm for removal/credit.;https://pbs.twimg.com/profile_images/1369972073758564355/nzPns41x_400x400.jpg;850949;0;;appropriate;;0;https://twitter.com/Locati0ns/status/1788104092574998635
21;08.05.24 09:30;I don't say this lightly - but the floods in Porto Alegre, Brazil, are looking comparable to what Katrina did to New Orleans in 2005 -- massive evacuations, water & power outages, key infrastructure damaged, parts of city unlivable, possible long-term consequences;https://pbs.twimg.com/media/GNC-y3PWoAAGfil?format=jpg&name=900x900;;3020;550;24;Brian Winter;BrazilBrian;"Editor-in-chief 
@AmerQuarterly
. Latin American politics & barbecue. ""O mais brasileiro dos texanos."" Opinions mine.";https://pbs.twimg.com/profile_images/1696273071898800128/Qc439vin_400x400.jpg;71129;0;;inappropriate;;0;https://twitter.com/BrazilBrian/status/1788140902067634491
22;08.05.24 09:30;Sentinel-2 satellite imagery from earlier today shows the incredible extent of the historic flooding in Rio Grande do Sul, Brazil.<br><br>Just terrible.;https://saltwire.imgix.net/2024/5/7/brazil-floods-death-toll-rises-to-90-dozens-still-stranded.jpg?cs=srgb&fit=crop&h=568&w=847&dpr=2&auto=enhance%2Cformat%2Ccompress;;11239;34120;56;Nahel Belgherze;WxNB_;Covering extreme weather events around the world. Also interested in climate dynamics, geohazards & satellite remote sensing. Views are my own.;https://pbs.twimg.com/profile_images/1729266199496736768/ADI5Spzl_400x400.jpg;51737;0;;inappropriate;;0;https://twitter.com/WxNB_/status/1787616302737035457
23;08.05.24 09:30;The sheer scale of the flooding in the metropolitan area of Porto Alegre, Brazil, which is home to over 4 million people, is hard to comprehend. Thousands of homes flooded, towns cut off, dozens killed, hundreds missing.;;;2231;1415;51;Nahel Belgherze;WxNB_;Covering extreme weather events around the world. Also interested in climate dynamics, geohazards & satellite remote sensing. Views are my own.;https://pbs.twimg.com/profile_images/1729266199496736768/ADI5Spzl_400x400.jpg;51737;0;;inappropriate;;0;https://twitter.com/WxNB_/status/1787942289349783798
24;08.05.24 09:30;Due to terrible floods in #Brazil, the airport in the city of Porto Alegre went under water;https://pbs.twimg.com/media/GNDAMh3W0AQJkmN?format=jpg&name=medium;;180;55;17;NEXTA;nexta_tv;The largest Eastern European media. To let the world know.;https://pbs.twimg.com/profile_images/1514923008707768321/hL4PN7Hf_400x400.jpg;1240000;0;;inappropriate;;0;https://twitter.com/nexta_tv/status/1788140500307845173
25;08.05.24 09:30;Brazil's wild beauty calls! Experience nature like never before. Book your breathtaking adventure with KLM.;https://i.postimg.cc/MGQtKsh2/brazil-wild-beauty.webp;;336;52;9;KLM;KLM;Official global account of KLM. FAQ about flying from AMS: http://klmf.ly/Schiphol. To learn how we can assist you, please check: http://klmf.ly/ContactCentre.;https://pbs.twimg.com/profile_images/1807736403385561088/HaxXwA-t_400x400.jpg;2223756;1;https://www.klm.com.br/en-br/flights-from-brazil;inappropriate;5;0;
